["5cca017e224f1e87c5e82700ad2f67b9","2019-08-04 01:41:22"]
["3fddf1acc12f8b6f8b29cd2da6fd6623","2019-08-04 01:46:22"]
["d900c7d0d77b6d6b88accf7036ca8b8d","2019-08-04 01:49:42"]
["c80dad23d2b7270e39456d431b18560e","2019-08-04 01:49:44"]
["661dc2263565ebacc12c152f741e6cc1","2019-08-04 01:49:44"]
["f63f4aa87b99bb82695a652ac49abb92","2019-08-04 01:51:22"]
["78570bc43c3b98998d58902488db9a07","2019-08-04 01:52:53"]
["78570bc43c3b98998d58902488db9a07","2019-08-04 01:52:53"]
["916114873a5deb45794a9d5335636b33","2019-08-04 01:56:23"]
["49d4e9d7c0deb0488a490ed307b15ed3","2019-08-04 02:00:11"]
["d3c08ab6d72bde7419b77bd1d80939bf","2019-08-04 02:01:23"]
["a7d8f3e04a1b8e596266928458060cbf","2019-08-04 02:05:39"]
["de68f7e7d076066fb116425b03013228","2019-08-04 02:06:23"]
["f9c9ed55a198107f7c4caef3d3ff6cd5","2019-08-04 02:11:23"]
["229d8d1a94d885d506cbedff63061db6","2019-08-04 02:16:24"]
["c594bf99cf9cfb1ec423accf6ff3b155","2019-08-04 02:21:24"]
["f474fbdae3e6fb4d4822146bb9dd66d5","2019-08-04 02:22:34"]
["11abe01e8f34af0759ad437ce690cccc","2019-08-04 02:24:06"]
["998f1b8b11648433836a8a4028f3fbda","2019-08-04 02:26:26"]
["16072591a4be8a6b6044842cd9e86ef0","2019-08-04 02:31:24"]
["e0c0796a48f924f12d745b62cab2c222","2019-08-04 02:32:31"]
["499700105ebc0a8eb9d8124c58057425","2019-08-04 02:36:05"]
["78035fb782bb0603ae0ecb34d89d0ddb","2019-08-04 02:36:25"]
["4f31d6839663544946eefbfc58fcc8e0","2019-08-04 02:39:48"]
["0c2505f7938f0f869f7ad4ef506e99d6","2019-08-04 02:40:11"]
["0d320cee920f91a8a38d0a82efb95396","2019-08-04 02:41:25"]
["b53d237b096ce0ea1aa0e7f2105d1e54","2019-08-04 02:46:25"]
["b2383a33017deea3d5908cc9da432af5","2019-08-04 02:51:25"]
["b02e92ff1016e682fa135f45afeadfb6","2019-08-04 02:54:08"]
["573d69d27ee41ad86814a9cffa4e44f3","2019-08-04 02:56:26"]
["c0f8b6b71b33ab378100bbff1fc0387f","2019-08-04 03:01:26"]
["b912131fef8e73053b7865daf9600abd","2019-08-04 03:04:36"]
["d8b488e2989c39f904757b47003515f3","2019-08-04 03:06:17"]
["0c3100c07df082131fc4ae32808fc12e","2019-08-04 03:06:26"]
["aae7344ee1b8842d3925a80129d02e0b","2019-08-04 03:11:00"]
["34610950edb7f7986b84fba34762399e","2019-08-04 03:11:26"]
["3f7e8bf9c516ddca991ed0c5407f6473","2019-08-04 03:16:27"]
["0814725a3640f4cf72c5d60b5115e441","2019-08-04 03:21:27"]
["de14b0a95e2d1f53de66c3f5a4b175a3","2019-08-04 03:22:38"]
["d9b23a668af9a526ee4e3c91abc2fbb3","2019-08-04 03:25:45"]
["d91d25095eee9c783180a876084a8580","2019-08-04 03:26:27"]
["20344fb13bc9c310727dffeaf20ab4f8","2019-08-04 03:31:28"]
["5af5770238244e056ead747090dfad76","2019-08-04 03:36:28"]
["d04e0c1ca3f04b05aa0c8f8ba39a1f6e","2019-08-04 03:41:28"]
["6eddf65f210e2bde511d71e9af56e469","2019-08-04 03:41:46"]
["bf55d817bff6372284346561420a8fed","2019-08-04 03:46:28"]
["5924ae506c7dfaa2861a9ce9e700fc08","2019-08-04 03:49:35"]
["86cd9ece346fee7035e2f87178efd6a3","2019-08-04 03:49:43"]
["11000440e29989526ef88b5906e8c635","2019-08-04 03:51:28"]
["ef2be5b649d6b31a295ba97ca2f4c628","2019-08-04 03:51:49"]
["ef2be5b649d6b31a295ba97ca2f4c628","2019-08-04 03:51:50"]
["3f188f7b2e484922b3e077e0b98e4eff","2019-08-04 03:56:29"]
["835dcf597febeace75fa9d69f5635626","2019-08-04 04:01:29"]
["013aa6bd185d720266ad75460f6e8936","2019-08-04 04:06:21"]
["847d7a6d7b3529769a7b1d47360c4fcb","2019-08-04 04:06:29"]
["771b6741ad30a8e6e51b6a020996f8d8","2019-08-04 04:10:54"]
["b86fd20273c7cfabb641910a8057d730","2019-08-04 04:11:30"]
["a659a081c7ce94e07bd301cc6159317f","2019-08-04 04:12:30"]
["9371c9880143d54006a7f5db4382af1e","2019-08-04 04:16:30"]
["9888296b190c8cc5eb7d4988263ee4d3","2019-08-04 04:21:30"]
["5fa0ffeccb147351548917372183fa41","2019-08-04 04:25:05"]
["5fa0ffeccb147351548917372183fa41","2019-08-04 04:25:07"]
["f0196a1887af332eaec3ec04132efd5e","2019-08-04 04:26:30"]
["9845f3632a357496a56ef911ff9bf5f5","2019-08-04 04:26:37"]
["c18e94c7156dec6e3703c254db2b9c36","2019-08-04 04:31:31"]
["cfbcc68f243889b675e18b6874428059","2019-08-04 04:32:59"]
["cfbcc68f243889b675e18b6874428059","2019-08-04 04:33:00"]
["ef3bce031aa1975acd82eda85a90dae2","2019-08-04 04:36:31"]
["3e1c6da707f9cbb169bad3ae63eac4ba","2019-08-04 04:41:31"]
["f5c61a86f7bf3f066cad091e756bde6a","2019-08-04 04:43:41"]
["25172f9f406f2e7c49b611e81a22b8de","2019-08-04 04:46:31"]
["4a5b18ed5f6cb955404d8759fa565438","2019-08-04 04:46:33"]
["4ddb8e473444843868a0d4e8de09163c","2019-08-04 04:51:32"]
["b1f8c55574fd86485b70c4c088b016b3","2019-08-04 04:56:32"]
["c91a4439cab33e088389234638f56214","2019-08-04 05:01:32"]
["49b38d74f86127596fa67d2416914008","2019-08-04 05:02:42"]
["dce3aff00b65add801d2f6a712ad731f","2019-08-04 05:06:32"]
["d6b72d103375e3c144a386851f7aa868","2019-08-04 05:11:33"]
["31b08150beb0ed55de8fa823c6f6e5eb","2019-08-04 05:11:55"]
["8dec1e9ac82ab1ca4c63daafabeec082","2019-08-04 05:13:50"]
["1ca344f6dce022f4bcf709a2081fb396","2019-08-04 05:16:33"]
["63183dc8b68aab2cc61c87763b026cb2","2019-08-04 05:19:31"]
["58fd6513760edf4b8d2b7f006b5618ad","2019-08-04 05:21:33"]
["55365ec0d19fdcc1272e7188ae1a275b","2019-08-04 05:26:34"]
["cefd0eb805718302ded73e324b0d8d0f","2019-08-04 05:29:14"]
["cbac9cc2bb1b5c785f45695a2be4a4a7","2019-08-04 05:31:30"]
["cfd5b7d324273f1dcfc32b302264781a","2019-08-04 05:31:32"]
["07aaff19fd07f988df5e57ccb31beb35","2019-08-04 05:31:34"]
["c30929627f3c52aa8fa3ca00b307a1b3","2019-08-04 05:36:34"]
["1b4ff8eefc6be235f616279f26a77e44","2019-08-04 05:40:48"]
["ecbe08381b459ce90a3eba7374a0dd1d","2019-08-04 05:41:34"]
["4400698000b5b4dd7229075142a55966","2019-08-04 05:46:34"]
["d3df4d73796647a09edebce1fcf840d5","2019-08-04 05:46:48"]
["de317b9ed5f07e80af392af2ff2ff867","2019-08-04 05:50:30"]
